Model,Accuracy,Precision,Recall,F1,AUC
LSTM + TF-IDF,0.8764118847811295,0.7053467968879324,0.5373266078184111,0.609977811180302,0.9090153716423575
LSTM + Word2Vec,0.8841007031072806,0.6996036240090601,0.623203026481715,0.6591970121381886,0.92064041767568
LSTM + GloVe,0.8851893853481515,0.6995546896743668,0.633921815889029,0.6651230484255094,0.9217409907207981
